id,original_title,title,original_language,overview,release_date,popularity,vote_average,budget,revenue,runtime,genre_names,collection,collection_name,release_year,release_month,release_day
635,Angel Heart,Angel Heart,en,"down-and-out private detective harry angel ordered mysterious louis cyphre go mission find missing person. routine failure soon leads bloody spar himself, goes supernatural journey own soul.",1987-03-06,16.396,7.1,17000000,17186348,113,"Horror, Mystery",,,1987,3,6
9696,殺し屋1,Ichi the Killer,ja,"sadomasochistic yakuza enforcer kakihara searches missing boss comes across ichi, repressed psychotic killer may able inflict levels pain kakihara only dreamed of.",2001-12-22,16.381,7.0,1400010,80631,129,"Action, Crime, Horror",,,2001,12,22
985,Eraserhead,Eraserhead,en,"henry spencer tries survive industrial environment, angry girlfriend, unbearable screams newly born mutant child.",1977-03-19,16.376,7.4,100000,7000000,89,"Fantasy, Horror",,,1977,3,19
49950,The Roommate,The Roommate,en,"sara, young design student iowa, arrives college los angeles, eager fit get know big city. wealthy roommate, rebecca, more than eager take sara under wing show ropes. become close, sara begins branch make more friends campus, rebecca becomes resentful. alarmed, sara moves new boyfriend, causing rebecca's behavior take violent turn.",2011-02-04,16.36,5.4,16000000,52545707,91,"Drama, Horror, Thriller",,,2011,2,4
763,Braindead,Braindead,en,"sumatran rat-monkey bites lionel cosgrove's mother, she's transformed zombie begins killing (and transforming) entire town while lionel races keep things under control.",1992-08-13,16.344,7.4,3000000,242623,103,"Comedy, Horror",,,1992,8,13
77949,The Awakening,The Awakening,en,"1921, england overwhelmed loss grief world war i. hoax exposer florence cathcart visits boarding school explain sightings child ghost. everything believes unravels 'missing' begin show themselves.",2011-08-17,16.328,6.4,4798235,209696,107,"Horror, Mystery, Thriller",,,2011,8,17
11377,House on Haunted Hill,House on Haunted Hill,en,"millionaire offers group diverse people $1,000,000 spend night haunted house horrifying past.",1999-10-29,16.294,5.6,37000000,40846082,93,"Horror, Mystery, Thriller",248339.0,House on Haunted Hill Collection,1999,10,29
50719,"Silent Night, Deadly Night Part 2","Silent Night, Deadly Night Part 2",en,"being traumatized brother billy's murderous rampage years earlier, ricky caldwell become serial killer himself now living mental hospital. relating story psychiatrist, ricky recounts details murder sprees vows avenge brother's death.",1987-04-10,16.282,4.6,250000,154323,88,"Comedy, Horror",256296.0,"Silent Night, Deadly Night Collection",1987,4,10
36599,Prom Night,Prom Night,en,"high school senior prom, masked killer stalks four teenagers were responsible accidental death classmate six years previously",1980-07-18,16.274,5.7,1500000,14796236,92,"Horror, Mystery, Thriller",123255.0,Prom Night Collection,1980,7,18
12142,Alone in the Dark,Alone in the Dark,en,"edward carnby private investigator specializing unexplainable supernatural phenomena. cases delve dark corners world, searching truth occult remnants ancient civilizations. now, greatest mystery past about become most dangerous case ever faced.",2005-01-28,16.253,3.2,20000000,12693645,98,"Action, Fantasy, Horror",149704.0,Alone in the Dark Collection,2005,1,28
